_question,_answer,Tags
Amazon Kendra とは何ですか?,Amazon Kendra は、機械学習 (ML) を利用する高精度で使いやすいエンタープライズ検索サービスです。デベロッパーはアプリケーションに検索機能を追加できます。これにより、その企業全体に散在する膨大な量のコンテンツ内に保存されている情報をエンドユーザーが見つけられるようになります。これには、マニュアル、調査報告書、よくある質問、人事 (HR) 関連ドキュメント、カスタマーサービスガイドのデータが含まれます。Amazon Simple Storage Service (S3)、Microsoft SharePoint、Salesforce、ServiceNow、RDS データベース、Microsoft OneDrive などの様々なシステムに存在している場合があります。質問が入力されると、このサービスは機械学習アルゴリズムを使用してその内容を理解し、質問の直接の回答であれ、ドキュメント全体であれ、最も適切な回答を返します。例えば、「企業クレジットカードのキャッシュバック率はどれくらいですか?」といった質問をすることができ、Amazon Kendra は関連するドキュメントにマッピングして具体的な回答 (「2% です」など) を返します。Kendra はサンプルコードを提供するため、ユーザーは迅速に使用を開始し、新規または既存のアプリケーションに極めて正確な検索を簡単に統合できます。,Kendra
Amazon Kendra は他の AWS のサービスとどのように連携しますか?,Amazon Kendra は、お客様が AWS に保存するすべての非構造化データについて、機械学習を利用する検索機能を提供します。Amazon Kendra には、Amazon S3 や Amazon RDS データベースといった一般的な AWS のリポジトリタイプ向けの、使いやすいネイティブコネクタが用意されています。Amazon Comprehend、Amazon Transcribe、Amazon Comprehend Medical といった他の AI サービスを使用して、文書の前処理、検索可能テキストの生成、エンティティの抽出、およびメタデータのエンリッチ化を実施し、目的にさらに特化した検索機能を実現できます。,Kendra
Amazon Kendra にはどのようなタイプの質問ができますか?,Amazon Kendra では、以下の一般的なタイプの質問がサポートされています。ファクトイド型質問 (誰、何、いつ、どこで): 「Amazon の CEO は誰ですか?」または「2022 年の Prime Day はいつですか?」などです。 これらの質問には事実に基づく回答が必要で、単純な語句の形式で返される場合があります。ただし、取り込まれたテキストコンテンツに正確な回答が明記されている必要があります。記述的な質問:「Echo Plus をネットワークに接続するにはどうすればいいですか?」 回答は、文、文章、または文書全体である可能性があります。キーワード検索: 「健康上のメリット」や「IT ヘルプデスク」など。 意図と範囲が明確でない場合、Amazon Kendra は深層学習モデルを使用して関連文書を返します。,Kendra
Amazon Kendra が探している正確な回答がデータに含まれていない場合はどうなりますか?,質問に対する正確な回答がデータに含まれていない場合、Amazon Kendra は、その深層学習モデルによってランク付けされた最も関連性の高いドキュメントのリストを返します。,Kendra
Amazon Kendra が回答できない質問はどのようなタイプのものですか?,Amazon Kendra は、回答するためにドキュメント間でのパッセージ集約または計算が必要となる質問にはまだ対応していません。,Kendra
Amazon Kendra を起動して実行するにはどうすればよいですか?,Amazon Kendra コンソールは、最も簡単な使用開始手段を提供します。Amazon S3 に保存されたよくある質問などの非構造化および半構造化ドキュメントをポイントするように Amazon Kendra を設定できます。取り込み後、コンソールの [search] (検索) セクションにクエリを直接入力して Kendra のテストを開始できます。その後、(1) Experience Builder でビジュアル UI エディタを使用する (コードは不要)、または (2) より正確なコントロールのために数行のコードを使用して Amazon Kendra API を実装する、といった 2 つの簡単な方法で Amazon Kendra 検索をデプロイできます。API の実装を高速化するために、コードサンプルもコンソールに用意されています。,Kendra
会社の専門領域やビジネスの専門分野にさらに適合するよう Amazon Kendra をカスタマイズするにはどうすればよいですか?,Amazon Kendra は、IT、医薬品、保険、エネルギー、工業、金融サービス、法律、メディアとエンターテイメント、旅行とホスピタリティ、健康、人事、ニュース、通信、オートモーティブといった分野に特化した専門知識を提供します。独自のシノニムリストを用意することで、特定分野に対する Kendra の理解をさらに微調整したり、強化したりできます。特定の用語集のファイルをアップロードするだけで、Amazon Kendra はそれらの同義語を使用して、ユーザー検索の質を高めます。,Kendra
Amazon Kendra ではどのようなファイルタイプがサポートされますか?,Amazon Kendra は、.html、MS Office (.doc、.ppt)、PDF、およびテキスト形式の非構造化および半構造化データをサポートします。MediaSearch ソリューションでは 、Amazon Kendra を使ってオーディオファイルやビデオファイルを検索することもできます。,Kendra
Amazon Kendra は増分データ更新をどのように処理しますか?,Amazon Kendra は、インデックスを最新に保つための方法を 2 つ提供します。まず、コネクタは、データソースを定期的に自動で同期するためのスケジュール機能を提供します。次に、Amazon Kendra API は、既存の ETL ジョブまたはアプリケーション経由でデータソースから Amazon Kendra にデータを直接送信するための独自のコネクタを構築することを可能にします。,Kendra
Amazon Kendra はどの言語をサポートしていますか?,言語のサポートについては、ドキュメントのページでご確認いただけます。,Kendra
